"productCode","name","price","description","imageURL","unit","Category code","Group code"
"","ALEGRIA KUMBULLA TE THATA PAKETIM I VOGEL 200 GR",215,"ALEGRIA KUMBULLA TE THATA PAKETIM I VOGEL 200 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM27540.png","cope","",""
"","ARRE KOKOSI 110GR",89,"ARRE KOKOSI 110GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM19343.png","cope","",""
"","CLIPSY DINI KIKIRIK 30GR",40,"CLIPSY DINI KIKIRIK 30GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM09847.png","cope","",""
"","ELKA FARA LULE DIELLI 150GR",99,"ELKA FARA LULE DIELLI 150GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM01457.jpg","cope","",""
"","ELKA FARA LULEDIELLI? 27GR",20,"ELKA FARA LULEDIELLI? 27GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM01456.jpg","cope","",""
"","ELKA KIKIRIK 150 GR",109,"ELKA KIKIRIK 150 GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM01455.jpg","cope","",""
"","EXTRA KIKIRIK 350GR",269,"EXTRA KIKIRIK 350GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM19394.jpg","cope","",""
"","FARA CHIA (CHIA SEEDS)",159,"FARA CHIA (CHIA SEEDS)","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM26011.png","cope","",""
"","GUD KIKIRIKE TE PJEKUR ME KRIPE 40GR",35,"GUD KIKIRIKE TE PJEKUR ME KRIPE 40GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM09855.png","cope","",""
"","KIKIRIKE ELKA I PJEKUR 125 GR",109,"KIKIRIKE ELKA I PJEKUR 125 GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM24940.jpg","cope","",""
"","KRIK KRAK BAJAME 40GR",125,"KRIK KRAK BAJAME 40GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM10649.png","cope","",""
"","KRIK KRAK FARE KUNGULLI ME LEVOZHGE 40GR",50,"KRIK KRAK FARE KUNGULLI ME LEVOZHGE 40GR","https://bli.ecomarket.al/wp-content/uploads/2021/02/SM10655.png","cope","",""
"","KRIK KRAK FARE LULEDIELLI E QERUAR VASKETE 200GR",109,"KRIK KRAK FARE LULEDIELLI E QERUAR VASKETE 200GR","https://bli.ecomarket.al/wp-content/uploads/2021/02/SM18973.png","cope","",""
"","KRIK KRAK MIKS KRAKER 100GR",135,"KRIK KRAK MIKS KRAKER 100GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM10657.png","cope","",""
"","KRIK KRAK STIKE 100GR",299,"KRIK KRAK STIKE 100GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM10663.png","cope","",""
"","MARSIELLO ULLINJ TE ZINJ PA BERTHAME 4250GR",1550,"MARSIELLO ULLINJ TE ZINJ PA BERTHAME 4250GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm28811.png","cope","",""
"","MOGYI POPCORN MIKROVALE ME KRIPE 100GR",70,"MOGYI POPCORN MIKROVALE ME KRIPE 100GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM30344.jpg","cope","",""
